,City,Cuisines,Cost,Tablebooking,Onlinedelivery,deliverynow,Price_range,rating,rating_color,rating_text,Votes
498,124,79,25,0,0,0,2,4.1,1,5,921
499,124,1741,25,0,0,0,2,4.1,1,5,986
500,124,286,25,0,0,0,2,4.1,1,5,1020
501,124,49,70,0,0,0,4,4.7,0,1,3157
502,124,268,40,0,0,0,3,3.9,5,2,665
503,124,1022,70,0,0,0,4,3.9,5,2,373
504,124,283,25,0,0,0,2,4.4,1,5,1007
505,124,29,25,0,0,0,2,4.4,1,5,803
506,124,98,40,0,0,0,3,4.2,1,5,1363
507,124,1062,10,0,0,0,1,4.9,0,1,1424
508,124,1664,40,0,0,0,3,4.5,0,1,844
509,124,808,40,0,0,0,3,4.9,0,1,1413
510,124,278,40,0,0,0,3,4.5,0,1,1203
